Compañía;País;Tipo;Ramo;Subramo;Moneda local; USD ;Año;Tasa de Cambio;AFILIADO
CHUBB;Brasil;Siniestros;RC;Internacional;8.697.654;1.685.102;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;RC;Férreo;93.041;18.026;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;RC;Aéreo;506.271;98.086;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;RC;Terrestre;89.720.201;17.382.583;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;RC;Desvíos;60.838.006;11.786.885;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;RC;Acuaviario;904.673;175.273;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;Riesgos portuarios;;14.711.568;2.850.251;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;Cascos;;14.581.354;2.825.023;2022;5,1615;AFILIADO
CHUBB;Brasil;Siniestros;Riesgos petroleros;;12.147.614;2.353.505;2022;5,1615;AFILIADO
CHUBB;Brasil;Primas;Carga;Transporte nacional;80.295.815;14.877.310;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;Carga;Transporte internacional;66.884.973;12.392.532;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;Cascos;;22.015.231;4.079.010;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;RC;Transporte internacional;9.998.282;1.852.494;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;RC;Ferreo;1.370.165;253.866;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;RC;Aereo;5.847.611;1.083.453;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;RC;Terrestre;106.253.085;19.686.705;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;RC;Desvio;71.733.862;13.290.940;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;RC;Acuaviario;5.017.397;929.630;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;Riesgos portuarios;;54.994.571;10.189.463;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Transporte nacional;44.239.384;8.196.729;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Transporte internacional;8.651.652;1.602.989;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;Cascos;;9.880.579;1.830.686;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;RC;Transporte internacional;5.486.140;1.016.479;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;RC;Ferreo;-462.134;-85.625;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;RC;Aereo;307.414;56.958;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;RC;Terrestre;56.586.525;10.484.422;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;RC;Desvio;34.281.561;6.351.731;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;RC;Acuaviario;1.106.470;205.008;2021;5,3972;AFILIADO
CHUBB;Brasil;Siniestros;Riesgos portuarios;;-8.257.413;-1.529.944;2021;5,3972;AFILIADO
CHUBB;Brasil;Primas;Riesgos Petroleros;;16.380.066;3.178.559;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;Carga;Nacional;67.669.373;13.131.270;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;Carga;Internacional;58.326.777;11.318.335;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;RC;Internacional;6.532.000;1.267.537;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;RC;Aerea;3.699.327;717.856;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;RC;Terrestre;80.011.754;15.526.314;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;RC;Desvios;52.080.959;10.106.332;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;RC;Maritima;2.302.406;446.783;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;Riesgos Portuarios;;58.253.266;11.304.070;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;Cascos;;17.427.003;3.381.717;2020;5,1533;AFILIADO
CHUBB;Brasil;Siniestros;Riesgos Petroleros;;231.946.694;45.009.352;2020;5,1533;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Nacional;26.904.944;5.220.916;2020;5,1533;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Internacional;9.713.203;1.884.851;2020;5,1533;AFILIADO
CHUBB;Brasil;Siniestros;RC;Internacional;3.546.503;688.200;2020;5,1533;AFILIADO
CHUBB;Brasil;Siniestros;RC;Aerea;1.081.200;209.807;2020;5,1533;AFILIADO
CHUBB;Brasil;Siniestros;RC;Terrestre;39.464.386;7.658.080;2020;5,1533;AFILIADO
CHUBB;Brasil;Siniestros;RC;Desvios;22.013.401;4.271.710;2020;5,1533;AFILIADO
CHUBB;Brasil;Siniestros;RC;Maritima;115.552;22.423;2020;5,1533;AFILIADO
FAIRFAX;Brasil;Primas;Carga;Nacional;30.178.852;8.210.369;2018;3,6757;AFILIADO
FAIRFAX;Brasil;Primas;Carga;Internacional;12.914.893;3.513.587;2018;3,6757;AFILIADO
FAIRFAX;Brasil;Primas;Cascos;Cascos Marítimos;16.672.981;4.536.002;2018;3,6757;AFILIADO
FAIRFAX;Brasil;Primas;RC;Terrestre;22.881.886;6.225.178;2018;3,6757;AFILIADO
FAIRFAX;Brasil;Primas;RC;Desvios;12.421.834;3.379.447;2018;3,6757;AFILIADO
FAIRFAX;Brasil;Primas;RC;Aerea;642;175;2018;3,6757;AFILIADO
FAIRFAX;Brasil;Primas;RC;Maritima;194;53;2018;3,6757;AFILIADO
FAIRFAX;Brasil;Primas;Riesgos Petroleros;;1.653.565;449.864;2018;3,6757;AFILIADO
FAIRFAX;Brasil;Primas;Riesgos Portuarios;;18.607.466;5.062.292;2018;3,6757;AFILIADO
CHUBB;Brasil;Siniestros;Riesgos Portuarios;;3.350.481;650.162;2020;5,1533;AFILIADO
CHUBB;Brasil;Siniestros;Cascos;;22.496.098;4.365.377;2020;5,1533;AFILIADO
CHUBB;Brasil;Primas;Carga;Nacional;86.030.200;21.803.533;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;Carga;Internacional;73.462.507;18.618.371;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;Cascos;;9.304.233;2.358.069;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;RC;Internacional;9.503.549;2.408.584;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;RC;Ferrea;11.744.623;2.976.563;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;RC;Aerea;5.559.092;1.408.899;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;RC;Terrestre;87.993.803;22.301.189;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;RC;Desvios;67.222.641;17.036.937;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;RC;Maritima;2.855.365;723.665;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;Riesgos Portuarios;;53.326.481;13.515.088;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;Riesgos petroleros;;244.335;61.924;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;Riesgos petroleros;;51.469.080;13.044.347;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Nacional;38.409.960;9.734.638;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Internacional;7.737.680;1.961.041;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;Cascos;;-22.520.771;-5.707.674;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;RC;Internacional;7.332.079;1.858.245;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;RC;Ferrea;7.959.655;2.017.299;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;RC;Aerea;-455.868;-115.535;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;RC;Terrestre;54.130.321;13.718.813;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;RC;Desvios;26.419.722;6.695.826;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;RC;Maritima;976.671;247.528;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;Riesgos Portuarios;;16.453.402;4.169.958;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;Riesgos petroleros;;41.174.391;10.435.256;2019;3,9457;AFILIADO
CHUBB;Brasil;Siniestros;Riesgos petroleros;;10.934.904;2.771.347;2019;3,9457;AFILIADO
CHUBB;Brasil;Primas;Carga;Nacional;80.449.861;21.886.950;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;Carga;Internacional;79.194.489;21.545.417;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;Carga;Internacional;0;0;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;Carga;Nacional;0;0;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;Cascos;Cascos Marítimos;8.355.495;2.273.171;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;RC;Terrestre;94.818.503;25.796.040;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;RC;Desvios;63.791.474;17.354.919;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;RC;Ferrea;13.248.483;3.604.343;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;RC;Internacional;8.405.380;2.286.743;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;RC;Aerea;2.959.972;805.281;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;RC;Maritima;1.790.555;487.133;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;Riesgos Petroleros;;-56.695.601;-15.424.436;2018;3,6757;AFILIADO
CHUBB;Brasil;Primas;Riesgos Portuarios;;54.802.554;14.909.420;2018;3,6757;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Nacional;36.178.255;9.842.548;2018;3,6757;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Internacional;-4.221.964;-1.148.615;2018;3,6757;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Nacional;-3;-1;2018;3,6757;AFILIADO
CHUBB;Brasil;Siniestros;Carga;Internacional;-38;-10;2018;3,6757;AFILIADO
CHUBB;Brasil;Siniestros;Cascos;Cascos Marítimos;6.422.587;1.747.310;2018;3,6757;AFILIADO
CHUBB;Brasil;Siniestros;RC;Terrestre;44.691.346;12.158.595;2018;3,6757;AFILIADO
CHUBB;Brasil;Siniestros;RC;Desvios;30.674.053;8.345.092;2018;3,6757;AFILIADO
